Name,Price,Unit Price,Product Link,id
"Bananas, each",0.2,50.0 ¢/lb,/ip/Bananas-each/44390948?athbdg=L1200,44390948
"Hass Avocados, each",1.28,,/ip/Hass-Avocados-each/44390949?athbdg=L1600,44390949
"Yellow Nectarines, each",1.03,$1.31/lb,/ip/Yellow-Nectarines-each/44391097,44391097
"Gala Apples, 3 lb Bag",3.94,$1.31/lb,/ip/Gala-Apples-3-lb-Bag/44390958?athbdg=L1600,44390958
Bulk Kiwi,0.5,43.0 ¢/oz,/ip/Bulk-Kiwi/44391016,44391016
"Fresh Blackberries, 6 oz",2.58,,/ip/Fresh-Blackberries-6-oz/47314798,47314798
"Limes, 1 each",0.58,,/ip/Limes-1-each/44391008?athbdg=L1600,44391008
"Personal Watermelon, each",3.48,,/ip/Personal-Watermelon-each/44390986,44390986
Freshness Guaranteed Mango 16 oz,5.48,34.3 ¢/oz,/ip/Freshness-Guaranteed-Mango-16-oz/28826837,28826837
"Seedless Watermelon, each",3.98,,/ip/Seedless-Watermelon-each/44391101?athbdg=L1300,44391101
"Honeycrisp Apples, Bulk",1.63,$2.72/lb,/ip/Honeycrisp-Apples-Bulk/44390950,44390950
"Honeycrisp Apples, 3 lb Bag",7.48,$2.49/lb,/ip/Honeycrisp-Apples-3-lb-Bag/151762086,151762086
"Gala Apples, Bulk",0.86,$1.72/lb,/ip/Gala-Apples-Bulk/44390953,44390953
"Fresh USDA Organic Strawberries, 1 lb.",3.48,21.8 ¢/oz,/ip/Fresh-USDA-Organic-Strawberries-1-lb/45618183,45618183
Plantains,0.68,68.0 ¢/lb,/ip/Plantains/34143814,34143814
Watermelon Chunks 42 oz (2lb 10oz),8.97,21.4 ¢/oz,/ip/Watermelon-Chunks-42-oz-2lb-10oz/47094281,47094281
"Organic Honeycrisp Apples, 2 lb Pouch",6.56,20.5 ¢/oz,/ip/Organic-Honeycrisp-Apples-2-lb-Pouch/269332623,269332623
"Organic Gala Apples, 3 lb Bag",6.18,$2.06/lb,/ip/Organic-Gala-Apples-3-lb-Bag/46491702,46491702
"Strawberry Blueberry Blend, 14 oz",5.48,,/ip/Strawberry-Blueberry-Blend-14-oz/46536807,46536807
"Clementines, 5lb bag",7.37,$1.47/lb,/ip/Clementines-5lb-bag/44390951,44390951
"Yellow Mangoes, each",0.5,,/ip/Yellow-Mangoes-each/46491714,46491714
